group,Year,Value
Female,2005,263586
Female,2003,237715
Female,2002,233503
Female,2001,229395
Female,2000,225384
Female,1999,223797
Female,1998,218254
Female,1997,212877
Female,1996,207669
Female,1995,202632
Female,1990,179997
Female,1987,184693
Female,1986,180643
Female,1985,178067
Female,1985,170986
Male,2005,243221
Male,2003,223253
Male,2002,219211
Male,2001,215288
Male,2000,211479
Male,1999,204433
Male,1998,198946
Male,1997,193636
Male,1996,188504
Male,1995,183553
Male,1990,161494
Male,1987,162367
Male,1986,157917
Male,1985,155061